problem_id,grade,grade_numeric,start_holds,mid_holds,end_holds,full_path,path_length,is_benchmark,repeats,quality_score,quality_weight,quality_bin,strata
238119,6B+,1,"[[5, 4]]","[[3, 8], [1, 10], [6, 12], [8, 15]]","[[6, 17]]","[[5, 4], [3, 8], [1, 10], [6, 12], [8, 15], [6, 17]]",6,False,137,137,0.5187512534322024,high,6B+_high
81286,6B+,1,"[[5, 4], [8, 4]]","[[7, 9], [4, 9], [5, 13], [8, 15]]","[[6, 17]]","[[5, 4], [8, 4], [7, 9], [4, 9], [5, 13], [8, 15], [6, 17]]",7,False,18,18,0.3099965028588725,medium,6B+_medium
185720,7A,4,"[[10, 4]]","[[9, 7], [9, 8], [5, 11], [6, 12]]","[[4, 17]]","[[10, 4], [9, 7], [9, 8], [5, 11], [6, 12], [4, 17]]",6,False,18,18,0.3099965028588725,medium,7A_medium
331673,6C+,3,"[[5, 4]]","[[2, 6], [3, 9], [6, 10], [2, 11], [3, 12], [5, 14], [2, 14]]","[[2, 17]]","[[5, 4], [2, 6], [3, 9], [6, 10], [2, 11], [3, 12], [2, 14], [5, 14], [2, 17]]",9,False,15,15,0.2919037595418605,medium,6C+_medium
186283,6B+,1,"[[10, 4]]","[[10, 8], [7, 10], [6, 12], [4, 14]]","[[4, 17]]","[[10, 4], [10, 8], [7, 10], [6, 12], [4, 14], [4, 17]]",6,False,56,56,0.4256606310322161,high,6B+_high
328565,6B+,1,"[[6, 3], [5, 4]]","[[7, 9], [4, 10], [4, 12], [8, 13], [4, 14], [6, 16]]","[[8, 17]]","[[6, 3], [5, 4], [7, 9], [4, 10], [4, 12], [8, 13], [4, 14], [6, 16], [8, 17]]",9,False,24,24,0.3388897701417455,medium,6B+_medium
201266,6C,2,"[[6, 1], [8, 3]]","[[5, 6], [9, 7], [7, 10], [5, 13]]","[[6, 17]]","[[6, 1], [8, 3], [5, 6], [9, 7], [7, 10], [5, 13], [6, 17]]",7,False,49,49,0.4118657100272106,high,6C_high
339155,6C,2,"[[5, 4], [8, 5]]","[[2, 6], [6, 8], [2, 9], [8, 10], [4, 12], [3, 14], [6, 16]]","[[6, 17]]","[[5, 4], [8, 5], [2, 6], [6, 8], [2, 9], [8, 10], [4, 12], [3, 14], [6, 16], [6, 17]]",10,False,17,17,0.3043041962321522,medium,6C_medium
340731,6B+,1,"[[5, 4]]","[[6, 1], [2, 6], [5, 8], [4, 9], [5, 10], [6, 12], [5, 13]]","[[6, 17]]","[[6, 1], [5, 4], [2, 6], [5, 8], [4, 9], [5, 10], [6, 12], [5, 13], [6, 17]]",9,False,15,15,0.2919037595418605,medium,6B+_medium
336454,6C,2,"[[5, 4]]","[[7, 8], [4, 9], [8, 13], [4, 14]]","[[4, 17]]","[[5, 4], [7, 8], [4, 9], [8, 13], [4, 14], [4, 17]]",6,False,27,27,0.3508212438001706,medium,6C_medium
283395,6B+,1,"[[5, 4]]","[[6, 7], [3, 8], [5, 10], [6, 12], [4, 14]]","[[4, 17]]","[[5, 4], [6, 7], [3, 8], [5, 10], [6, 12], [4, 14], [4, 17]]",7,False,16,16,0.2982864425871573,medium,6B+_medium
113385,6C,2,"[[10, 4], [6, 5]]","[[6, 8], [1, 9], [4, 11], [4, 14], [8, 15]]","[[8, 17]]","[[10, 4], [6, 5], [6, 8], [1, 9], [4, 11], [4, 14], [8, 15], [8, 17]]",8,True,2409,2409,0.8198713614773937,high,6C_high
45180,6C,2,"[[5, 4]]","[[4, 7], [1, 9], [4, 11], [4, 14]]","[[6, 17]]","[[5, 4], [4, 7], [1, 9], [4, 11], [4, 14], [6, 17]]",6,False,434,434,0.6396247423093782,high,6C_high
312586,6C,2,"[[10, 4]]","[[6, 1], [7, 4], [7, 8], [7, 10], [5, 13], [8, 15]]","[[6, 17]]","[[6, 1], [10, 4], [7, 4], [7, 8], [7, 10], [5, 13], [8, 15], [6, 17]]",8,False,26,26,0.3469923845200308,medium,6C_medium
37526,7B+,7,"[[0, 4]]","[[2, 8], [2, 10], [7, 10], [6, 14]]","[[10, 17]]","[[0, 4], [2, 8], [2, 10], [7, 10], [6, 14], [10, 17]]",6,False,36,36,0.3801647556462723,high,7B+_high
312625,6C,2,"[[8, 3], [5, 4]]","[[6, 7], [3, 8], [5, 9], [6, 12], [4, 14]]","[[4, 17]]","[[8, 3], [5, 4], [6, 7], [3, 8], [5, 9], [6, 12], [4, 14], [4, 17]]",8,False,53,53,0.4199683244054959,high,6C_high
307979,6B+,1,"[[1, 2], [3, 4]]","[[4, 7], [1, 9], [5, 10], [6, 12], [5, 13], [8, 15]]","[[10, 17]]","[[1, 2], [3, 4], [4, 7], [1, 9], [5, 10], [6, 12], [5, 13], [8, 15], [10, 17]]",9,False,12,12,0.2700430664208519,low,6B+_low
25056,6C,2,"[[10, 4]]","[[10, 8], [7, 9], [10, 13], [8, 14]]","[[10, 17]]","[[10, 4], [10, 8], [7, 9], [10, 13], [8, 14], [10, 17]]",6,False,493,493,0.6530155091651896,high,6C_high
136267,6B+,1,"[[4, 5], [8, 5]]","[[7, 7], [7, 9], [4, 10], [2, 12], [8, 13], [5, 13], [6, 16]]","[[4, 17]]","[[4, 5], [8, 5], [7, 7], [7, 9], [4, 10], [2, 12], [5, 13], [8, 13], [6, 16], [4, 17]]",10,False,13,13,0.2778453039147054,low,6B+_low
334631,6B+,1,"[[6, 3], [5, 4]]","[[4, 7], [7, 9], [4, 9], [6, 12], [4, 14]]","[[4, 17]]","[[6, 3], [5, 4], [4, 7], [4, 9], [7, 9], [6, 12], [4, 14], [4, 17]]",8,False,28,28,0.3545157290651618,high,6B+_high
99450,6C,2,"[[0, 4], [2, 4]]","[[3, 8], [3, 9], [7, 9], [7, 11], [9, 12], [6, 14]]","[[10, 17]]","[[0, 4], [2, 4], [3, 8], [3, 9], [7, 9], [7, 11], [9, 12], [6, 14], [10, 17]]",9,False,11,11,0.2616160079442738,low,6C_low
312694,7B,6,"[[9, 1], [6, 5]]","[[3, 7], [9, 9], [5, 12], [6, 16]]","[[3, 17]]","[[9, 1], [6, 5], [3, 7], [9, 9], [5, 12], [6, 16], [3, 17]]",7,False,12,12,0.2700430664208519,low,7B_low
324869,6B+,1,"[[6, 3], [5, 4]]","[[4, 5], [6, 8], [7, 9], [2, 9], [2, 12], [8, 13], [4, 14]]","[[6, 17]]","[[6, 3], [5, 4], [4, 5], [6, 8], [7, 9], [2, 9], [2, 12], [8, 13], [4, 14], [6, 17]]",10,False,27,27,0.3508212438001706,medium,6B+_medium
312926,6B+,1,"[[7, 4], [4, 5]]","[[7, 9], [6, 12], [4, 14]]","[[8, 17]]","[[7, 4], [4, 5], [7, 9], [6, 12], [4, 14], [8, 17]]",6,False,13,13,0.2778453039147054,low,6B+_low
307531,6C,2,"[[8, 4], [7, 4]]","[[6, 1], [9, 4], [6, 7], [7, 7], [8, 9], [5, 11], [5, 12], [8, 12], [5, 13], [7, 15]]","[[6, 17], [4, 17]]","[[6, 1], [7, 4], [8, 4], [9, 4], [6, 7], [7, 7], [8, 9], [5, 11], [5, 12], [8, 12], [5, 13], [7, 15], [4, 17], [6, 17]]",14,False,15,15,0.2919037595418605,medium,6C_medium
57290,6C,2,"[[5, 4]]","[[6, 7], [7, 7], [8, 10], [5, 12], [8, 13]]","[[6, 17]]","[[5, 4], [6, 7], [7, 7], [8, 10], [5, 12], [8, 13], [6, 17]]",7,False,454,454,0.644357315520965,high,6C_high
